scene,p1_start,p1_gaze,p1_gesture,p1_end,p2_start,p2_gaze,p2_gesture,p2_end
0101,1.2,2.2,3.8,5.0,1.0,2.0,2.2,
0102,1.2,2.2,2.4,3.2,1.4,1.8,2.2,
0105,1.2,2.2,3.6,4.4,1.35,2.4,2.6,
0106,1.2,2.2,2.8,4.2,1.4,2.0,2.0,1.4
0107,1.2,2.6,4.6,4.8,1.6,1.4,1.4,
0108,1.2,2.2,4.0,,1.35,1.78,2.2,
0201,1.2,2.2,2.6,3.0,1.4,2.0,2.2,
0203,1.2,1.8,3.2,4.2,1.2,2.2,2.6,
03a02,1.4,1.8,2.8,4.8,1.6,2.1,2.6,
03a03,1.4,1.8,3.4,4.7,1.4,2.0,2.4,
03a04,1.4,1.8,2.8,3.7,1.4,2.2,2.2,
03a06,1.4,1.8,3.2,5.0,1.47,1.6,2.6,
03a07,1.4,1.8,4.4,,1.47,1.73,2.0,
03a08,1.4,1.8,2.8,,1.47,2.23,3.0,
03b05,1.4,1.8,2.0,4.0,2.2,2.6,2.0,
03b06,1.4,1.8,2.2,5.0,2.4,2.8,2.6,
03b07,1.4,1.8,2.0,4.8,2.4,3.0,2.2,
03b12,1.4,1.8,1.8,4.8,2.6,2.3,2.0,
0402,1.4,2.2,3.0,4.0,2.07,2.8,2.6,
0403,1.4,1.8,3.8,5.0,2.0,1.8,1.6,
0404,1.4,1.8,2.8,3.4,2.0,2.8,2.6,
0503,1.4,1.4,1.8,5.0,1.7,2.4,2.2,
0505,1.4,2.0,4.2,5.0,1.55,2.0,2.2,
0506,1.4,2.0,3.2,4.8,1.55,2.4,1.8,
0508,1.4,2.6,3.0,4.2,1.4,1.8,2.2,
0603,1.4,1.8,2.8,2.8,1.4,2.0,2.6,
